SiteNumber,Upscaling Factor,Control Metric (m),Time (s),Nb Simu Per Hour
11,300,0.0890154277610986,301,11.9601328903654
11,330,0.0959083060330537,264,13.6363636363636
11,365,0.102726342500979,230,15.6521739130435
11,550,0.161093394554838,168,21.4285714285714
11,640,0.111713333158673,126,28.5714285714286
11,730,0.162267854042082,124,29.0322580645161
11,1000,0.143495783145246,115,31.304347826087
11,1500,0.179823622533024,76,47.3684210526316
11,2000,0.227790582279066,68,52.9411764705882
11,2250,0.186313528179574,49,73.4693877551021
11,3000,0.212536026892452,30,120
11,3182,0.225441021722113,33,109.090909090909
11,3652,0.220141482086226,28,128.571428571429
12,1,0,47713,0.075451134910821
12,2,0.0031172366230168,29891,0.120437589910006
12,7,0.0119980742691852,13076,0.275313551544815
12,15,0.0202381603996584,8275,0.435045317220544
12,21,0.0255436737593257,7515,0.479041916167665
12,30,0.0336530456759948,6740,0.534124629080119
12,45,0.0456663647764526,6193,0.581301469400937
12,50,0.048765820416689,5972,0.602813127930342
12,60,0.0557106477275746,5736,0.627615062761506
12,75,0.0617143037051616,5252,0.685453160700685
12,90,0.0730083632551525,4702,0.765631646108039
12,100,0.075515837203816,4502,0.799644602398934
12,125,0.0892199128887487,4402,0.817810086324398
12,150,0.0962223954294124,3830,0.939947780678851
12,182,0.122204838500241,2852,1.26227208976157
12,200,0.109795909068345,3183,1.13100848256362
12,250,0.135497337081511,2677,1.34478894284647
12,300,0.139901920210629,2179,1.65213400642497
12,330,0.1373040463941,2079,1.73160173160173
12,365,0.140184130662573,1776,2.02702702702703
12,550,0.16486449017011,1509,2.38568588469185
12,640,0.157167291801328,1146,3.1413612565445
12,730,0.167835385880153,1014,3.55029585798817
12,1000,0.165750801446854,788,4.56852791878173
12,1500,0.179846040291434,756,4.76190476190476
12,2000,0.200484920578909,658,5.47112462006079
12,2250,0.19294819819076,519,6.9364161849711
12,3000,0.209904622596686,358,10.0558659217877
12,3182,0.213048401364416,416,8.65384615384615
12,3652,0.20767154571938,332,10.8433734939759
13,1,0,1849,1.94699837750135
13,2,0.0022063438684162,1071,3.36134453781513
13,7,0.0079049822077504,489,7.36196319018405
13,15,0.0131027301018794,388,9.27835051546392
13,21,0.0163134425363499,332,10.8433734939759
13,30,0.021215598309817,271,13.2841328413284
13,45,0.0288174603152483,241,14.9377593360996
13,50,0.0304267922884734,233,15.450643776824
13,60,0.0346905965629798,223,16.1434977578475
13,75,0.0387243201545047,221,16.289592760181
13,90,0.0459743068795799,179,20.1117318435754
13,100,0.0469526408581791,174,20.6896551724138
13,125,0.0553150340899671,159,22.6415094339623
13,150,0.0594677090973026,161,22.360248447205
13,182,0.0731496298288549,95,37.8947368421053
13,200,0.0658171901360725,125,28.8
13,250,0.0779261402350436,89,40.4494382022472
13,300,0.0792644259288585,68,52.9411764705882
13,330,0.0779433827626115,54,66.6666666666667
13,365,0.0799346362186648,54,66.6666666666667
13,550,0.087027515571261,39,92.3076923076923
13,640,0.0849612236094247,22,163.636363636364
13,730,0.0884871835852028,27,133.333333333333
13,1000,0.0883850470404615,25,144
13,1500,0.0939969184671416,17,211.764705882353
13,2000,0.0970225067681391,12,300
13,2250,0.0950715610308494,9,400
13,3000,0.0998605746589843,6,600
13,3182,0.100627638858427,4,900
13,3652,0.0993700430118872,3,1200
14,1,0,35348,0.101844517370148
14,2,0.0025659666410965,21136,0.170325510976533
14,7,0.0103738358831147,9931,0.362501258684926
14,15,0.0168416848858304,6392,0.563204005006258
14,21,0.0202724122122124,5753,0.625760472796802
14,30,0.0275341640025388,5317,0.677073537709235
14,45,0.0388811593027748,4885,0.736949846468782
14,50,0.0415347739756035,4778,0.753453327752198
14,60,0.0489192562488914,4606,0.781589231437256
14,75,0.0546117941971823,4208,0.855513307984791
14,90,0.0669928669115922,3694,0.974553329723877
14,100,0.068680108288561,3612,0.996677740863787
14,125,0.0833140874338638,3370,1.06824925816024
14,150,0.0918619289379249,3168,1.13636363636364
14,182,0.121517386350767,2283,1.57687253613666
14,200,0.106911565989432,2552,1.41065830721003
14,250,0.136579465792244,2141,1.68145726296123
14,300,0.145042506316449,1756,2.0501138952164
14,330,0.142025529629841,1609,2.23741454319453
14,365,0.142593201670619,1435,2.50871080139373
14,550,0.177998780603824,829,4.34258142340169
14,640,0.169517143114069,825,4.36363636363636
14,730,0.185354292534036,787,4.57433290978399
14,1000,0.182294930055464,850,4.23529411764706
14,1500,0.205283887865703,615,5.85365853658537
14,2000,0.238923092233417,467,7.70877944325482
14,2250,0.253253969889154,253,14.2292490118577
14,3000,0.282433542329905,211,17.0616113744076
14,3182,0.279413971310945,230,15.6521739130435
14,3652,0.271140484284402,160,22.5
15,1,0,14391,0.250156347717323
15,2,0.006634684505364,8606,0.418312805019754
15,7,0.0311773625577056,3779,0.952632971685631
15,15,0.0513970717384473,2164,1.66358595194085
15,21,0.06022038573683,1895,1.89973614775726
15,30,0.0825331753189077,1953,1.84331797235023
15,45,0.123538987887102,1442,2.49653259361997
15,50,0.1311647698777,1373,2.62199563000728
15,60,0.160063610722758,1351,2.66469282013323
15,75,0.180461623614826,1194,3.01507537688442
15,90,0.236616766015214,1420,2.53521126760563
15,100,0.233741747961642,1031,3.4917555771096
15,125,0.329796918711215,963,3.73831775700935
15,150,0.341009827726022,874,4.11899313501144
15,182,0.49572869076572,798,4.51127819548872
15,200,0.435550933306707,701,5.13552068473609
15,250,0.597712240864873,575,6.26086956521739
15,300,0.619003812219439,479,7.51565762004175
15,330,0.561651317125878,410,8.78048780487805
15,365,0.598628434518518,445,8.08988764044944
15,550,0.703189574776349,282,12.7659574468085
15,640,0.719861582697149,202,17.8217821782178
15,730,0.75491300054302,243,14.8148148148148
15,1000,0.774655160833859,192,18.75
15,1500,0.851374810049897,129,27.906976744186
15,2000,0.897443889403776,105,34.2857142857143
15,2250,1.01693309141125,81,44.4444444444444
15,3000,1.04728262769097,54,66.6666666666667
15,3182,1.08334595780652,50,72
15,3652,1.12539962059619,50,72
16,1,0,25969,0.1386268242905
16,2,0.0031220060443771,15500,0.232258064516129
16,7,0.0119243259775783,6902,0.521587945523037
16,15,0.0202042268021913,3921,0.918133129303749
16,21,0.0239631484988848,3766,0.955921402018056
16,30,0.0353137113675942,3811,0.944633954342692
16,45,0.0496047517559637,2904,1.2396694214876
16,50,0.0476057072960049,2837,1.26894606979203
16,60,0.0567602945941713,2811,1.28068303094984
16,75,0.0725509104538725,2498,1.44115292233787
16,90,0.0895169299721877,2760,1.30434782608696
16,100,0.0844783754487946,2177,1.65365181442352
16,125,0.109153811251036,2062,1.7458777885548
16,150,0.121042185801159,1840,1.95652173913043
16,182,0.170593776057579,1693,2.12640283520378
16,200,0.147252004874712,1522,2.36530880420499
16,250,0.185337088522745,1259,2.8594122319301
16,300,0.195036203769183,1053,3.41880341880342
16,330,0.192319764024229,914,3.93873085339169
16,365,0.209772662122256,1075,3.34883720930233
16,550,0.242791000598593,642,5.60747663551402
16,640,0.236274752470107,471,7.64331210191083
16,730,0.255180023940036,575,6.26086956521739
16,1000,0.25426754708636,464,7.75862068965517
16,1500,0.276324805688427,313,11.5015974440895
16,2000,0.330088113513143,276,13.0434782608696
16,2250,0.28305577341891,205,17.5609756097561
16,3000,0.307654120822928,135,26.6666666666667
16,3182,0.318566605216342,150,24
16,3652,0.314628691043445,147,24.4897959183673
17,1,0,16901,0.213005147624401
17,2,0.0036195277470909,9615,0.374414976599064
17,7,0.0154406150457085,4092,0.879765395894428
17,15,0.0249713462213946,2349,1.53256704980843
17,21,0.0305220198069751,2112,1.70454545454545
17,30,0.0413325160789286,2099,1.71510242972844
17,45,0.0588386845126401,1656,2.17391304347826
17,50,0.064206476630692,1603,2.24578914535246
17,60,0.076728299538617,1537,2.34222511385817
